2014-12-31,4,private,withdraw,1200.0,EUR
2015-01-01,4,private,withdraw,1000.0,EUR
2016-01-05,4,private,withdraw,1000.0,EUR
2016-01-05,1,private,deposit,200.0,EUR
2016-01-06,2,business,withdraw,300.0,EUR
2016-01-06,1,private,withdraw,30000.0,JPY
2016-01-07,1,private,withdraw,1000.0,EUR
2016-01-07,1,private,withdraw,100.0,USD
2016-01-10,1,private,withdraw,100.0,EUR
2016-01-10,2,business,deposit,10000.0,EUR
2016-01-10,3,private,withdraw,1000.0,EUR
2016-02-15,1,private,withdraw,300.0,EUR
2016-02-19,5,private,withdraw,3000000.0,JPY